ARRIVAL_DELAY,DEPARTURE_DELAY,ARRIVAL_DELAY_hr,DEPARTURE_DELAY_hr
-15.0,-7.0,-0.25,-0.11666666666666667
-25.0,-10.0,-0.4166666666666667,-0.16666666666666666
-2.0,-5.0,-0.03333333333333333,-0.08333333333333333
24.0,-6.0,0.4,-0.1
22.0,1.0,0.36666666666666664,0.016666666666666666
-5.0,-7.0,-0.08333333333333333,-0.11666666666666667
-11.0,-3.0,-0.18333333333333332,-0.05
65.0,74.0,1.0833333333333333,1.2333333333333334
-6.0,-5.0,-0.1,-0.08333333333333333
-10.0,-2.0,-0.16666666666666666,-0.03333333333333333
-10.0,-8.0,-0.16666666666666666,-0.13333333333333333
-9.0,-2.0,-0.15,-0.03333333333333333
-6.0,-2.0,-0.1,-0.03333333333333333
44.0,50.0,0.7333333333333333,0.8333333333333334
0.0,0.0,0.0,0.0
0.0,-1.0,0.0,-0.016666666666666666
15.0,0.0,0.25,0.0
35.0,17.0,0.5833333333333334,0.2833333333333333
-21.0,-6.0,-0.35,-0.1
-10.0,-5.0,-0.16666666666666666,-0.08333333333333333
26.0,-5.0,0.43333333333333335,-0.08333333333333333
5.0,-6.0,0.08333333333333333,-0.1
-14.0,-8.0,-0.23333333333333334,-0.13333333333333333
-7.0,-3.0,-0.11666666666666667,-0.05
3.0,-2.0,0.05,-0.03333333333333333
11.0,-2.0,0.18333333333333332,-0.03333333333333333
21.0,4.0,0.35,0.06666666666666667
0.0,-6.0,0.0,-0.1
12.0,-4.0,0.2,-0.06666666666666667
-2.0,2.0,-0.03333333333333333,0.03333333333333333
9.0,-1.0,0.15,-0.016666666666666666
0.0,-6.0,0.0,-0.1
-35.0,-5.0,-0.5833333333333334,-0.08333333333333333
-3.0,-1.0,-0.05,-0.016666666666666666
2.0,-4.0,0.03333333333333333,-0.06666666666666667
-15.0,-4.0,-0.25,-0.06666666666666667
-3.0,12.0,-0.05,0.2
34.0,-5.0,0.5666666666666667,-0.08333333333333333
-15.0,-4.0,-0.25,-0.06666666666666667
-8.0,-5.0,-0.13333333333333333,-0.08333333333333333
-13.0,-9.0,-0.21666666666666667,-0.15
-2.0,-2.0,-0.03333333333333333,-0.03333333333333333
9.0,-7.0,0.15,-0.11666666666666667
10.0,23.0,0.16666666666666666,0.38333333333333336
194.0,194.0,3.2333333333333334,3.2333333333333334
-18.0,-9.0,-0.3,-0.15
36.0,-3.0,0.6,-0.05
-30.0,-14.0,-0.5,-0.23333333333333334
13.0,1.0,0.21666666666666667,0.016666666666666666
16.0,-1.0,0.26666666666666666,-0.016666666666666666
-18.0,-10.0,-0.3,-0.16666666666666666
14.0,-3.0,0.23333333333333334,-0.05
6.0,-7.0,0.1,-0.11666666666666667
-3.0,0.0,-0.05,0.0
28.0,1.0,0.4666666666666667,0.016666666666666666
-3.0,8.0,-0.05,0.13333333333333333
2.0,4.0,0.03333333333333333,0.06666666666666667
-19.0,-5.0,-0.31666666666666665,-0.08333333333333333
-14.0,-3.0,-0.23333333333333334,-0.05
-7.0,-2.0,-0.11666666666666667,-0.03333333333333333
7.0,-3.0,0.11666666666666667,-0.05
-11.0,-4.0,-0.18333333333333332,-0.06666666666666667
-9.0,-2.0,-0.15,-0.03333333333333333
0.0,-2.0,0.0,-0.03333333333333333
-16.0,-6.0,-0.26666666666666666,-0.1
-10.0,-6.0,-0.16666666666666666,-0.1
8.0,-1.0,0.13333333333333333,-0.016666666666666666
26.0,33.0,0.43333333333333335,0.55
2.0,-4.0,0.03333333333333333,-0.06666666666666667
18.0,-3.0,0.3,-0.05
7.0,0.0,0.11666666666666667,0.0
-9.0,3.0,-0.15,0.05
-11.0,-7.0,-0.18333333333333332,-0.11666666666666667
4.0,-4.0,0.06666666666666667,-0.06666666666666667
12.0,1.0,0.2,0.016666666666666666
-12.0,-6.0,-0.2,-0.1
-9.0,-6.0,-0.15,-0.1
-13.0,10.0,-0.21666666666666667,0.16666666666666666
17.0,-2.0,0.2833333333333333,-0.03333333333333333
-14.0,-4.0,-0.23333333333333334,-0.06666666666666667
-10.0,-7.0,-0.16666666666666666,-0.11666666666666667
15.0,2.0,0.25,0.03333333333333333
9.0,-2.0,0.15,-0.03333333333333333
-10.0,-4.0,-0.16666666666666666,-0.06666666666666667
21.0,5.0,0.35,0.08333333333333333
-3.0,-7.0,-0.05,-0.11666666666666667
-10.0,-9.0,-0.16666666666666666,-0.15
-37.0,-13.0,-0.6166666666666667,-0.21666666666666667
-9.0,-1.0,-0.15,-0.016666666666666666
-6.0,-5.0,-0.1,-0.08333333333333333
20.0,-4.0,0.3333333333333333,-0.06666666666666667
-17.0,-8.0,-0.2833333333333333,-0.13333333333333333
-10.0,-8.0,-0.16666666666666666,-0.13333333333333333
-8.0,-7.0,-0.13333333333333333,-0.11666666666666667
-11.0,-2.0,-0.18333333333333332,-0.03333333333333333
15.0,10.0,0.25,0.16666666666666666
2.0,-5.0,0.03333333333333333,-0.08333333333333333
27.0,3.0,0.45,0.05
-8.0,-6.0,-0.13333333333333333,-0.1
-9.0,-6.0,-0.15,-0.1
13.0,-1.0,0.21666666666666667,-0.016666666666666666
44.0,11.0,0.7333333333333333,0.18333333333333332
7.0,-10.0,0.11666666666666667,-0.16666666666666666
-18.0,-10.0,-0.3,-0.16666666666666666
-8.0,-9.0,-0.13333333333333333,-0.15
-1.0,-6.0,-0.016666666666666666,-0.1
2.0,-4.0,0.03333333333333333,-0.06666666666666667
55.0,49.0,0.9166666666666666,0.8166666666666667
-11.0,-8.0,-0.18333333333333332,-0.13333333333333333
5.0,-5.0,0.08333333333333333,-0.08333333333333333
15.0,5.0,0.25,0.08333333333333333
-2.0,-4.0,-0.03333333333333333,-0.06666666666666667
9.0,-4.0,0.15,-0.06666666666666667
-12.0,-9.0,-0.2,-0.15
-11.0,-8.0,-0.18333333333333332,-0.13333333333333333
9.0,-4.0,0.15,-0.06666666666666667
-8.0,-4.0,-0.13333333333333333,-0.06666666666666667
0.0,-5.0,0.0,-0.08333333333333333
-14.0,-10.0,-0.23333333333333334,-0.16666666666666666
6.0,-13.0,0.1,-0.21666666666666667
